hospital_name,gender,age,ssn,blood_type,height,weight,temperature,blood_pressure,heart_rate,diagnosis_code,procedure_code,admission_date,discharge_date,medication_name,dosage,allergies,insurance_provider,emergency_contact_name,emergency_contact_phone
error: unable to close due to unfinalized statements or unfinished backups,Male,47,518-55-4693,AB,40.81,504.85,44.76,196,85,85245,8839,5/8/2021,1/23/2022,Titanium Dioxide,665.9,Latex,Cigna,Akim Netting,958-263-5560
error: unable to close due to unfinalized statements or unfinished backups,Male,88,307-26-3470,AB,186.8,694.71,34.96,151,93,0993,2185,5/17/2021,1/25/2022,"Elm, American Ulmus americana",186.7,Penicillin,Cigna,Skell Gorry,917-799-9356
error: unable to close due to unfinalized statements or unfinished backups,Female,65,799-98-7099,O,164.23,888.25,32.38,156,132,11502,9616,5/6/2020,4/25/2020,Duloxetin hydrochloride,470.82,Peanuts,Cigna,Megen Benit,682-996-6400
error: unable to close due to unfinalized statements or unfinished backups,Female,85,231-89-1627,AB,88.82,605.68,34.19,175,46,3536,8245,6/15/2021,4/9/2020,hydrocodone bitartrate,517.32,Peanuts,Cigna,Tamma Maltman,950-983-9117
error: unable to close due to unfinalized statements or unfinished backups,Female,93,514-02-5201,B,260.5,675.17,38.98,183,186,25080,4680,11/5/2020,10/7/2020,Benazepril Hydrochloride,445.75,Penicillin,Aetna,Carmina Newbury,765-721-4112
error: unable to close due to unfinalized statements or unfinished backups,Male,54,838-66-0712,B,142.03,380.39,40.47,104,91,5164,0835,12/11/2021,7/7/2021,Amoxicillin,975.26,Peanuts,Aetna,Jay Habergham,640-919-4536
error: unable to close due to unfinalized statements or unfinished backups,Male,95,464-37-1117,B,285.9,577.62,34.93,169,82,51900,8570,11/10/2022,9/12/2020,Benzocaine and Menthol,928.81,Peanuts,Cigna,Angie Joska,422-553-4914
error: unable to close due to unfinalized statements or unfinished backups,Male,120,847-83-4022,A,25.57,156.8,36.31,129,70,V9100,3404,7/25/2022,9/6/2022,Cefuroxime,65.04,Peanuts,Aetna,Derrek Reedyhough,328-440-2195
error: unable to close due to unfinalized statements or unfinished backups,Male,30,117-10-8709,A,1.82,85.63,31.03,180,184,42761,6909,4/22/2021,9/18/2022,Sulfur-Lavender,583.65,Peanuts,Cigna,Thornton Ivamy,576-300-7411
error: unable to close due to unfinalized statements or unfinished backups,Male,21,703-85-0265,A,139.96,189.66,43.02,92,197,67400,8114,3/18/2020,5/29/2021,DIPHENHYDRAMINE HYDROCHLORIDE 50 mg,285.12,Peanuts,Aetna,Vick Duiguid,223-224-8360
error: unable to close due to unfinalized statements or unfinished backups,Female,18,839-18-7870,O,67.21,130.91,34.73,82,32,05912,9105,11/26/2021,1/12/2020,Erythropoietin,568.65,Latex,Cigna,Rosa Clucas,639-363-7671
error: unable to close due to unfinalized statements or unfinished backups,Male,86,510-46-5997,B,96.89,27.55,43.22,144,118,E8369,3532,3/23/2020,4/14/2021,amlodipine besylate,289.52,Latex,Aetna,Grannie Durning,511-691-4651
error: unable to close due to unfinalized statements or unfinished backups,Female,115,872-84-9241,O,215.28,982.46,38.98,91,178,81243,4402,12/9/2020,9/8/2020,"Octinoxate, Octisalate, Oxybenzone, and Titanium Dioxide",756.43,Peanuts,Cigna,Aileen Dines,902-435-7217
error: unable to close due to unfinalized statements or unfinished backups,Male,56,298-76-1905,A,228.81,634.61,43.25,101,138,66614,4222,4/7/2022,12/30/2021,flunisolide,905.0,Latex,Aetna,Porty Vasnetsov,417-439-4149
error: unable to close due to unfinalized statements or unfinished backups,Genderqueer,63,624-48-7597,A,3.8,362.91,43.41,89,89,71647,0296,8/15/2020,12/30/2022,"OCTINOXATE, OCTISALATE, AVOBENZONE",776.84,Penicillin,Cigna,Doria Lockner,806-720-1124
error: unable to close due to unfinalized statements or unfinished backups,Female,107,855-15-0197,B,16.97,164.28,40.15,79,185,67332,436,10/14/2020,11/3/2021,prazosin hydrochloride,193.35,Latex,Aetna,Clementine Jiroudek,578-901-5479
error: unable to close due to unfinalized statements or unfinished backups,Female,46,286-74-8150,A,72.01,362.2,34.04,166,196,E8689,0046,11/28/2020,9/30/2022,HYDROXYZINE HYDROCHLORIDE,254.63,Latex,Cigna,Lilas Oene,185-635-4705
error: unable to close due to unfinalized statements or unfinished backups,Male,36,238-60-0562,AB,27.59,706.47,43.39,165,180,2915,4255,10/4/2021,3/28/2021,diphenhydramine hydrochloride,876.06,Latex,Blue Cross Blue Shield,Harvey Tubritt,497-484-6111
error: unable to close due to unfinalized statements or unfinished backups,Male,28,883-33-3537,AB,41.27,354.16,43.64,75,64,63680,8242,11/9/2021,11/5/2021,Salicylic Acid,797.35,Latex,Aetna,Base Tollet,459-657-6512
error: unable to close due to unfinalized statements or unfinished backups,Female,58,664-09-8156,B,175.29,930.42,42.78,169,170,0323,0471,9/12/2021,11/2/2020,Oak White,817.8,Penicillin,Cigna,Alex Tooby,786-112-6002
error: unable to close due to unfinalized statements or unfinished backups,Male,103,497-59-1015,B,21.42,679.04,36.25,118,139,00865,700,11/7/2020,3/4/2020,Levofloxacin,808.28,Peanuts,Blue Cross Blue Shield,Ulises Bartelet,158-657-5568
error: unable to close due to unfinalized statements or unfinished backups,Male,72,693-08-2012,A,253.24,315.79,39.69,146,111,E9501,5475,8/1/2021,12/11/2021,Calcium polycarbophil,868.88,Latex,Cigna,Matthias Fotherby,196-885-3056
error: unable to close due to unfinalized statements or unfinished backups,Polygender,8,612-43-8979,AB,278.11,824.58,41.03,166,167,81211,8733,8/5/2020,6/14/2022,KETOROLAC TROMETHAMINE,153.86,Penicillin,Cigna,Russell Overstreet,404-463-8429
error: unable to close due to unfinalized statements or unfinished backups,Female,46,736-25-4099,A,56.41,180.25,44.68,92,188,2150,7763,9/20/2022,11/2/2021,"Avobenzone, Homosalate, Octisalate, Octocrylene, and Oxybenzone",743.67,Peanuts,Blue Cross Blue Shield,Kimberly Musla,612-871-8292
